[Command: python -u /Users/ianlewis/Documents/GitHub/ianlew.is/dev-projects/Map/loc_estimator.py]
[36.753768, 3.0587561]
[20.01693, -75.8301537]
[41.3850639, 2.1734035]
[50.919325, 0.9652799999999999]
[44.9537029, -93.0899578]
[47.5797815, 9.678933299999999]
[39.9611755, -82.99879419999999]
[34.4047987, -103.2052272]
[49.2974797, 6.8451707]
[43.60280789999999, 39.7341543]
[34.8480597, -114.6141315]
[35.1537803, -107.8216198]
[25.6577006, 57.7856677]
[-14.5994134, -28.6731465]
[43.1593745, -79.2468626]
[41.58065420000001, -72.7567636]
[32.61768, -116.1874241]
[35.1744271, -6.1473964]
[44.1024504, 9.824082599999999]
[40.3933956, -82.4857181]
[47.5650067, -122.6269768]
[20.403852, -97.2878798]
[51.247571, -0.067578]
[42.0396042, 9.012892599999999]
[40.92357639999999, 9.4964429]
[45.6318397, -122.6716063]
[41.4298516, -81.3910999]
[52.52000659999999, 13.404954]
[35.2219971, -101.8312969]
[41.1874828, -103.1129824]
[-18.8791902, 47.5079055]
[33.1958696, -117.3794834]
[35.8893874, -5.3213455]
[39.0997265, -94.5785667]
[41.76371109999999, -72.6850932]
[51.188844, 0.5011627]
[40.72815749999999, -74.0776417]
[-34.6036844, -58.3815591]
[42.3600825, -71.0588801]
[55.160428, 14.8668836]
[27.9094677, -97.1499898]
[51.370723, 0.3604859]
[49.3983782, 15.5870415]
[51.376165, -0.098234]
[53.544389, -113.4909267]
[49.42953869999999, 2.0807123]
[51.0504088, 13.7372621]
[35.1744271, -6.1473964]
[-31.9505269, 115.8604572]
[54.3150367, -130.3208187]
[49.732771, 1.441891]
[40.6028144, -86.86723390000002]
[-23.9561304, -46.3264089]
[34.95, -118.58]
[31.2303904, 121.4737021]
[51.0036598, 3.8003144]
[46.4553899, -121.8989793]
[-39.035173, 177.4180311]
[49.968341, -98.62895700000001]
['Zero Results', 'Zero Results']
[-31.2532183, 146.921099]
[38.2719604, -96.53528539999999]
['Zero Results', 'Zero Results']
[34.1808392, -118.3089661]
[53.1929252, -2.8947859]
[40.91339430000001, -77.7783348]
[18.4671203, 94.34110009999999]
[41.5878281, -83.4932651]
[49.24015720000001, 6.996932699999999]
[41.8781136, -87.6297982]
[-34.4450316, 147.5360981]
[38.5285169, -89.1316944]
['Zero Results', 'Zero Results']
[39.1031182, -84.5120196]
[41.8781136, -87.6297982]
[44.3301785, 23.7948807]
[37.8043637, -122.2711137]
[44.68198659999999, -63.744311]
[-14.235004, -51.92528]
[39.9259463, -75.1196199]
[-34.146275, 18.9291721]
[40.7607793, -111.8910474]
[36.6512, 117.120095]
[46.2395793, -119.1005657]
[41.2455927, -89.9248303]
[13.7563309, 100.5017651]
[36.753768, 3.0587561]
[39.9242266, -83.8088171]
[42.1380804, -88.7834283]
[34.8416435, -118.8648189]
[25.7616798, -80.1917902]
[42.0258779, -85.81555759999999]
[38.1557502, -121.6913439]
[-20.6331975, -40.4404925]
[38.624514, -90.1506465]
[34.0039039, -117.0619755]
[40.3697905, -80.63396379999999]
[34.80207499999999, 38.996815]
[41.3931096, -81.5365094]
[41.079273, -85.1393513]
[45.5230622, -122.6764815]
[34.1808392, -118.3089661]
[-33.2355556, -70.21444439999999]
[33.8937913, 35.5017767]
[48.5216364, 9.0576448]
[31.7437272, -105.0927275]
[51.3392177, -0.0615091]
[-28.6473671, 153.601977]
[20.9425179, -17.0362272]
[-21.2664483, -63.45081070000001]
[51.335545, 1.419895]
['Zero Results', 'Zero Results']
[34.7737082, -90.7576112]
[40.2723545, -105.5474999]
[35.2219971, -101.8312969]
[-27.5764793, 152.9399218]
[36.753768, 3.0587561]
[40.735657, -74.1723667]
[33.95260200000001, -84.5499327]
[29.79466409999999, -98.7319703]
[44.0520691, -123.0867536]
[-32.8894587, -68.8458386]
[37.6688205, -122.0807964]
[51.033331, 2.8658393]
[52.2280802, 10.7064711]
[39.76492229999999, -74.2693297]
[39.8152678, 16.1997438]
[47.8677574, 12.6384037]
[41.8478074, 2.3904179]
[38.0495789, -77.3466468]
[42.0697509, -87.7878408]
[39.019184, 25.268555]
[34.9569924, -103.7289167]
[46.0561198, 14.5099221]
[41.6105937, -87.06419919999999]
[47.642833, 6.675242]
[45.5230622, -122.6764815]
[34.9900503, -106.0491893]
[36.6512, 117.120095]
['Zero Results', 'Zero Results']
[41.4361548, -88.7734493]
[53.5510846, 9.9936819]
[-28.8946769, 31.4627576]
[51.0413098, 3.3970513]
[47.257618, 3.684328]
[44.110898, 5.107716]
[40.7607793, -111.8910474]
[35.2908448, -2.9472191]
[40.0117151, -89.8481652]
[4.8087174, -75.690601]
[-12.0463731, -77.042754]
[29.727181, 121.906369]
[50.134664, -0.357056]
[51.376165, -0.098234]
[41.9909235, -74.68404559999999]
[-34.5885499, -60.94955400000001]
[48.1766089, 11.7435897]
[34.1808392, -118.3089661]
[34.1083449, -117.2897652]
[47.98233159999999, 8.819209599999999]
[-12.579738, -41.7007272]
[29.868336, 121.54399]
[39.8861052, -94.891913]
[50.134664, -0.357056]
[-22.3913, 143.0381]
[-39.3152848, 145.8468053]
['Zero Results', 'Zero Results']
[-23.4421917, 144.2555041]
[-16.7339461, -49.2726972]
[53.8992685, 13.6468979]
[38.9517053, -92.3340724]
[20.2218201, -75.9869609]
['Zero Results', 'Zero Results']
[36.2431964, -84.6715407]
[24.8614622, 67.0099388]
[40.44062479999999, -79.9958864]
[53.4285438, 14.5528116]
[50.947829, 12.763946]
[31.132093, 33.8032762]
[50.1715288, 8.7189606]
[49.42953869999999, 2.0807123]
[51.3982179, 8.5749432]
[37.6241793, -104.7802645]
[39.898646, -92.4810208]
[43.0125274, -83.6874562]
[55.755826, 37.6172999]
[42.5027467, -105.0260832]
[41.8791979, -87.8431155]
[14.9219177, -88.2375991]
[6.244203, -75.5812119]
[52.3702157, 4.895167900000001]
[29.8362441, -88.83870309999999]
[46.4181055, 9.225458699999999]
[37.3074896, -122.0329047]
[32.7287472, -94.94243790000002]
[42.5027467, -105.0260832]
['Zero Results', 'Zero Results']
[34.1808392, -118.3089661]
[8.321584, -81.595146]
[-38.2700243, 144.6474729]
